Title,Author,Rating
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"4.11 avg rating — 3,613,837 ratings"
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"3.97 avg rating — 432,148 ratings"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"4.09 avg rating — 509,544 ratings"
Man's Search for Meaning,Viktor E. Frankl,"4.37 avg rating — 838,160 ratings"
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"4.25 avg rating — 579,567 ratings"
"Fallen (Fallen, #1)",Lauren Kate,"3.72 avg rating — 612,675 ratings"
The Sun Also Rises,Ernest Hemingway,"3.79 avg rating — 483,808 ratings"
The Green Mile,Stephen        King,"4.49 avg rating — 353,017 ratings"
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,"4.37 avg rating — 297,608 ratings"
A Confederacy of Dunces,John Kennedy Toole,"3.89 avg rating — 292,625 ratings"
The Screwtape Letters,C.S. Lewis,"4.27 avg rating — 502,241 ratings"
The Crucible,Arthur Miller,"3.61 avg rating — 453,568 ratings"
The Lord of the Rings,J.R.R. Tolkien,"4.54 avg rating — 718,464 ratings"
Cat’s Cradle,Kurt Vonnegut Jr.,"4.15 avg rating — 429,608 ratings"
The Secret Magdalene,Ki Longfellow,"4.14 avg rating — 4,716 ratings"
The Wind in the Willows,Kenneth Grahame,"4.02 avg rating — 235,999 ratings"
Misery,Stephen        King,"4.23 avg rating — 819,474 ratings"
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"4.57 avg rating — 743,620 ratings"
A Light in the Attic,Shel Silverstein,"4.36 avg rating — 471,491 ratings"
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,"4.32 avg rating — 305,407 ratings"
The Phantom of the Opera,Gaston Leroux,"3.96 avg rating — 268,667 ratings"
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,"4.07 avg rating — 633,195 ratings"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"4.47 avg rating — 349,566 ratings"
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"4.42 avg rating — 1,003,125 ratings"
The God of Small Things,Arundhati Roy,"3.96 avg rating — 318,169 ratings"
Blindness,José Saramago,"4.18 avg rating — 326,729 ratings"
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,"4.02 avg rating — 421,854 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,064,118 ratings"
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,"4.43 avg rating — 1,216 ratings"
The House of the Spirits,Isabel Allende,"4.29 avg rating — 306,911 ratings"
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"4.67 avg rating — 632,015 ratings"
Girl with a Pearl Earring,Tracy Chevalier,"3.93 avg rating — 770,563 ratings"
"Uglies (Uglies, #1)",Scott Westerfeld,"3.84 avg rating — 702,373 ratings"
The Wind-Up Bird Chronicle,Haruki Murakami,"4.14 avg rating — 307,867 ratings"
Norwegian Wood,Haruki Murakami,"3.99 avg rating — 702,015 ratings"
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,"4.14 avg rating — 475,662 ratings"
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"4.19 avg rating — 795,765 ratings"
Speak,Laurie Halse Anderson,"4.05 avg rating — 623,932 ratings"
Paper Towns,John Green,"3.70 avg rating — 1,468,690 ratings"
She’s Come Undone,Wally Lamb,"3.91 avg rating — 358,026 ratings"
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"3.76 avg rating — 493,956 ratings"
"Marked (House of Night, #1)",P.C. Cast,"3.82 avg rating — 518,604 ratings"
Kafka on the Shore,Haruki Murakami,"4.12 avg rating — 531,449 ratings"
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"3.84 avg rating — 684,033 ratings"
The Sound and the Fury,William Faulkner,"3.86 avg rating — 192,791 ratings"
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"4.06 avg rating — 371,770 ratings"
The Complete Calvin and Hobbes,Bill Watterson,"4.81 avg rating — 41,726 ratings"
